CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
core-1, 07-tendermint-6, connection-5, channel-137, icacontroller-osmosis-1.rewards, osmosis-1, 07-tendermint-3, connection-4, *, icahost
core-1, 07-tendermint-6, connection-5, channel-138, icacontroller-osmosis-1.rewards, osmosis-1, 07-tendermint-3, connection-4, *, icahost
core-1, 07-tendermint-6, connection-5, channel-140, icacontroller-osmosis-1.rewards, osmosis-1, 07-tendermint-3, connection-4, *, icahost
core-1, 07-tendermint-6, connection-5, channel-144, icacontroller-osmosis-1.rewards, osmosis-1, 07-tendermint-3, connection-4, channel-15078, icahost
core-1, 07-tendermint-6, connection-5, channel-190, icacontroller-osmosis-1.delegate, osmosis-1, 07-tendermint-3, connection-4, *, icahost
core-1, 07-tendermint-6, connection-5, channel-193, icacontroller-osmosis-1.delegate, osmosis-1, 07-tendermint-3, connection-4, *, icahost
core-1, 07-tendermint-6, connection-5, channel-194, icacontroller-osmosis-1.delegate, osmosis-1, 07-tendermint-3, connection-4, *, icahost
core-1, 07-tendermint-6, connection-5, channel-218, icacontroller-pstake_ratesync_1, osmosis-1, 07-tendermint-3, connection-4, channel-35843, icahost
core-1, 07-tendermint-6, connection-5, channel-242, icacontroller-osmosis-1.delegate, osmosis-1, 07-tendermint-3, connection-4, channel-39297, icahost
core-1, 07-tendermint-6, connection-5, channel-6, transfer, osmosis-1, 07-tendermint-3, connection-4, channel-4, transfer
core-1, 07-tendermint-36, connection-30, channel-141, icacontroller-persistence18dsfsljczehwd5yem9qq2jcz56dz3shp48j3zj, cosmoshub-4, 07-tendermint-391, connection-344, channel-763, icahost
core-1, 07-tendermint-36, connection-30, channel-214, icacontroller-lscosmos_pstake_delegation_account, cosmoshub-4, 07-tendermint-391, connection-344, *, icahost
core-1, 07-tendermint-36, connection-30, channel-24, transfer, cosmoshub-4, 07-tendermint-391, connection-344, channel-190, transfer
core-1, 07-tendermint-36, connection-30, channel-53, icacontroller-lscosmos_pstake_reward_account, cosmoshub-4, 07-tendermint-391, connection-344, channel-428, icahost
core-1, 07-tendermint-36, connection-30, channel-55, icacontroller-lscosmos_pstake_delegation_account, cosmoshub-4, 07-tendermint-391, connection-344, *, icahost
core-1, 07-tendermint-36, connection-30, channel-56, icacontroller-lscosmos_pstake_delegation_account, cosmoshub-4, 07-tendermint-391, connection-344, *, icahost
core-1, 07-tendermint-36, connection-30, channel-59, icacontroller-lscosmos_pstake_delegation_account, cosmoshub-4, 07-tendermint-391, connection-344, *, icahost
core-1, 07-tendermint-36, connection-30, channel-60, icacontroller-lscosmos_pstake_delegation_account, cosmoshub-4, 07-tendermint-391, connection-344, channel-475, icahost
core-1, 07-tendermint-36, connection-30, channel-61, icacontroller-lscosmos_pstake_delegation_account, cosmoshub-4, 07-tendermint-391, connection-344, *, icahost
core-1, 07-tendermint-49, connection-48, channel-37, transfer, juno-1, 07-tendermint-89, connection-51, channel-33, transfer
core-1, 07-tendermint-51, connection-122, channel-75, transfer, gravity-bridge-3, 07-tendermint-39, connection-348, channel-115, transfer
core-1, 07-tendermint-51, connection-122, channel-76, transfer, gravity-bridge-3, 07-tendermint-39, connection-348, channel-115, transfer
core-1, 07-tendermint-51, connection-122, channel-77, transfer, gravity-bridge-3, 07-tendermint-39, connection-348, channel-115, transfer
core-1, 07-tendermint-51, connection-122, channel-78, transfer, gravity-bridge-3, 07-tendermint-39, connection-348, channel-115, transfer
core-1, 07-tendermint-51, connection-49, channel-38, transfer, gravity-bridge-3, 07-tendermint-39, connection-50, channel-24, transfer
core-1, 07-tendermint-57, connection-53, channel-41, transfer, injective-1, 07-tendermint-110, connection-91, channel-82, transfer
core-1, 07-tendermint-64, connection-59, channel-47, transfer, exchain-66, 07-tendermint-50, connection-15, channel-12, transfer
core-1, 07-tendermint-69, connection-63, channel-51, transfer, axelar-dojo-1, 07-tendermint-70, connection-52, channel-42, transfer
core-1, 07-tendermint-83, connection-71, channel-67, transfer, stride-1, 07-tendermint-54, connection-33, channel-53, transfer
core-1, 07-tendermint-88, connection-72, channel-68, transfer, crescent-1, 07-tendermint-42, connection-41, channel-30, transfer
core-1, 07-tendermint-94, connection-75, channel-71, transfer, comdex-1, 07-tendermint-123, connection-65, channel-57, transfer
core-1, 07-tendermint-96, connection-77, channel-73, transfer, quicksilver-2, 07-tendermint-15, connection-8, channel-16, transfer
core-1, 07-tendermint-96, connection-77, channel-84, icahost, quicksilver-2, 07-tendermint-15, connection-8, channel-43, icacontroller-regen-1.delegate
core-1, 07-tendermint-98, connection-137, channel-79, transfer, acre_9052-1, 07-tendermint-32, connection-29, channel-20, transfer
core-1, 07-tendermint-104, connection-143, channel-80, transfer, canto_7700-1, 07-tendermint-32, connection-25, channel-17, transfer
core-1, 07-tendermint-105, connection-144, channel-81, transfer, umee-1, 07-tendermint-179, connection-119, channel-51, transfer
core-1, 07-tendermint-106, connection-146, channel-158, transfer, secret-4, 07-tendermint-126, connection-98, channel-131, wasm.secret1tqmms5awftpuhalcv5h5mg76fa0tkdz4jv9ex4
core-1, 07-tendermint-106, connection-146, channel-159, transfer, secret-4, 07-tendermint-126, connection-98, channel-132, wasm.secret1tqmms5awftpuhalcv5h5mg76fa0tkdz4jv9ex4
core-1, 07-tendermint-106, connection-146, channel-82, transfer, secret-4, 07-tendermint-126, connection-98, channel-64, transfer
core-1, 07-tendermint-156, connection-195, channel-129, transfer, kava_2222-10, 07-tendermint-148, connection-189, channel-134, transfer
core-1, 07-tendermint-157, connection-196, channel-130, transfer, agoric-3, 07-tendermint-84, connection-84, channel-67, transfer
core-1, 07-tendermint-159, connection-197, channel-131, transfer, dydx-mainnet-1, 07-tendermint-4, connection-8, channel-4, transfer
core-1, 07-tendermint-159, connection-197, channel-154, icacontroller-dydx-mainnet-1.rewards, dydx-mainnet-1, 07-tendermint-4, connection-8, channel-25, icahost
core-1, 07-tendermint-159, connection-197, channel-198, icacontroller-dydx-mainnet-1.delegate, dydx-mainnet-1, 07-tendermint-4, connection-8, *, icahost
core-1, 07-tendermint-159, connection-197, channel-240, icacontroller-dydx-mainnet-1.delegate, dydx-mainnet-1, 07-tendermint-4, connection-8, channel-61, icahost
core-1, 07-tendermint-160, connection-198, channel-132, transfer, noble-1, 07-tendermint-61, connection-59, channel-36, transfer
core-1, 07-tendermint-161, connection-199, channel-136, transfer, neutron-1, 07-tendermint-73, connection-52, channel-49, transfer
core-1, 07-tendermint-161, connection-199, channel-221, icahost, neutron-1, 07-tendermint-73, connection-52, channel-1889, icacontroller-neutron1a2q3t9p6w0z59264jqxvwxyt0t3z498qpq083jl4xv8ew285fvpsdkmm6f.ica
core-1, 07-tendermint-161, connection-199, channel-222, icahost, neutron-1, 07-tendermint-73, connection-52, channel-1893, icacontroller-neutron13f6kaaudy7cz3r2d5nm5vwa5y8ggyzukzkx6c820av9lxk5agq7qaekcst.ica
core-1, 07-tendermint-161, connection-199, channel-223, icahost, neutron-1, 07-tendermint-73, connection-52, channel-1890, icacontroller-neutron1a2q3t9p6w0z59264jqxvwxyt0t3z498qpq083jl4xv8ew285fvpsdkmm6f.ica
core-1, 07-tendermint-161, connection-199, channel-224, icahost, neutron-1, 07-tendermint-73, connection-52, channel-1892, icacontroller-neutron13f6kaaudy7cz3r2d5nm5vwa5y8ggyzukzkx6c820av9lxk5agq7qaekcst.ica
core-1, 07-tendermint-161, connection-199, channel-243, icacontroller-pstake_ratesync_3, neutron-1, 07-tendermint-73, connection-52, channel-2086, icahost
core-1, 07-tendermint-162, connection-200, channel-152, transfer, kaiyo-1, 07-tendermint-167, connection-130, channel-158, transfer
core-1, 07-tendermint-162, connection-200, channel-219, icacontroller-pstake_ratesync_2, kaiyo-1, 07-tendermint-167, connection-130, channel-164, icahost
core-1, 07-tendermint-164, connection-202, channel-155, transfer, agoric-3, 07-tendermint-92, connection-90, channel-71, transfer
core-1, 07-tendermint-165, connection-203, channel-156, transfer, archway-1, 07-tendermint-74, connection-78, channel-107, transfer
core-1, 07-tendermint-166, connection-207, channel-197, transfer, stargaze-1, 07-tendermint-358, connection-293, channel-287, transfer
core-1, 07-tendermint-166, connection-207, channel-239, icacontroller-stargaze-1.rewards, stargaze-1, 07-tendermint-358, connection-293, channel-306, icahost
core-1, 07-tendermint-166, connection-207, channel-246, icacontroller-stargaze-1.delegate, stargaze-1, 07-tendermint-358, connection-293, channel-310, icahost
core-1, 07-tendermint-167, connection-210, channel-202, transfer, agoric-3, 07-tendermint-93, connection-91, channel-72, transfer
core-1, 07-tendermint-167, connection-210, channel-209, icacontroller-agoric-3.rewards, agoric-3, 07-tendermint-93, connection-91, channel-73, icahost
core-1, 07-tendermint-168, connection-212, channel-203, transfer, chihuahua-1, 07-tendermint-207, connection-137, channel-94, transfer
core-1, 07-tendermint-168, connection-212, channel-215, icacontroller-chihuahua-1.rewards, chihuahua-1, 07-tendermint-207, connection-137, channel-98, icahost
core-1, 07-tendermint-168, connection-212, channel-229, icacontroller-chihuahua-1.delegate, chihuahua-1, 07-tendermint-207, connection-137, channel-101, icahost
core-1, 07-tendermint-169, connection-214, channel-213, transfer, akashnet-2, 07-tendermint-188, connection-174, channel-127, transfer
core-1, 07-tendermint-170, connection-215, channel-217, transfer, carbon-1, 07-tendermint-58, connection-38, channel-36, transfer
